F11,F22,F33,F12,F13,F23,F21,F31,F32,elVol
0.904893,1.233081,0.903254,0.142115,0.002449,-0.079255,-0.008672,-0.007116,0.131770,-0.000125
0.911350,1.234404,0.896890,0.128691,0.006363,-0.090482,-0.004945,-0.012272,0.149970,-0.000125
0.934571,1.242583,0.868378,0.104012,0.008208,-0.082640,-0.002326,-0.013651,0.188437,-0.000125
0.975554,1.150845,0.918885,0.080635,0.003987,-0.033788,-0.000680,-0.006457,0.370119,-0.000125
0.980426,1.085000,0.966979,0.123400,-0.000776,-0.001839,-0.001669,0.001291,-0.034711,-0.000125
0.945282,1.171928,0.922936,0.136033,-0.003310,-0.004569,-0.006567,0.002346,0.050790,-0.000125
0.920994,1.210678,0.911592,0.142394,-0.004536,-0.016090,-0.011809,0.000880,0.108354,-0.000125
0.908730,1.230810,0.906279,0.143565,-0.003151,-0.035065,-0.013460,-0.002094,0.128770,-0.000125
0.905753,1.241792,0.901063,0.139438,-0.001458,-0.048115,-0.010956,-0.005845,0.140455,-0.000125
0.913123,1.241588,0.895052,0.126508,-0.000513,-0.052783,-0.006454,-0.009351,0.153660,-0.000125
0.935767,1.210504,0.903652,0.105478,-0.001641,-0.035730,-0.002943,-0.009753,0.204659,-0.000125
0.975805,1.107700,0.959019,0.083184,-0.001437,-0.009357,-0.000896,-0.004329,0.248023,-0.000125
0.978188,1.087105,0.971971,0.125307,-0.001132,-0.000266,-0.001540,0.000123,0.026340,-0.000125
0.940070,1.174389,0.929726,0.138137,-0.002609,-0.002101,-0.006308,0.000328,0.076027,-0.000125
0.915691,1.225340,0.909808,0.142076,-0.003169,-0.007703,-0.011847,-0.000174,0.114379,-0.000125
0.904997,1.244827,0.903082,0.142209,-0.002879,-0.017407,-0.013869,-0.001703,0.134786,-0.000125
0.903600,1.249518,0.900812,0.138249,-0.002028,-0.026101,-0.011351,-0.003790,0.141926,-0.000125
0.911682,1.237893,0.904462,0.126890,-0.002167,-0.025464,-0.006601,-0.005625,0.154550,-0.000125
0.934618,1.186867,0.926643,0.106503,-0.002446,-0.015184,-0.002932,-0.005668,0.172989,-0.000125
0.975347,1.094061,0.971963,0.080628,-0.001120,-0.004281,-0.000891,-0.002508,0.179005,-0.000125
0.976245,1.088286,0.975178,0.127213,-0.000774,-0.000915,-0.001494,-0.000317,0.079191,-0.000125
0.935679,1.177029,0.934330,0.138895,-0.001961,-0.002903,-0.006204,-0.000664,0.106267,-0.000125
0.911293,1.231904,0.911106,0.142077,-0.002161,-0.006506,-0.011750,-0.000789,0.127281,-0.000125
0.901946,1.252780,0.902041,0.141401,-0.001643,-0.011319,-0.013840,-0.001111,0.137675,-0.000125
0.902041,1.252780,0.901946,0.137675,-0.001111,-0.013840,-0.011319,-0.001643,0.141401,-0.000125
0.911106,1.231904,0.911293,0.127281,-0.000789,-0.011750,-0.006506,-0.002161,0.142077,-0.000125
0.934330,1.177029,0.935679,0.106267,-0.000664,-0.006204,-0.002903,-0.001961,0.138895,-0.000125
0.975178,1.088286,0.976245,0.079191,-0.000317,-0.001494,-0.000915,-0.000774,0.127213,-0.000125
0.975377,1.090704,0.975377,0.128636,-0.000649,-0.001502,-0.001502,-0.000649,0.128636,-0.000125
0.933713,1.181399,0.933713,0.139334,-0.001324,-0.006302,-0.006302,-0.001324,0.139334,-0.000125
0.909468,1.236756,0.909468,0.141683,-0.001170,-0.011920,-0.011920,-0.001170,0.141683,-0.000125
0.901212,1.254843,0.901212,0.140595,-0.000488,-0.014022,-0.014022,-0.000488,0.140595,-0.000125
0.902736,1.250758,0.902736,0.137051,0.000411,-0.011541,-0.011541,0.000411,0.137051,-0.000125
0.912907,1.227040,0.912907,0.126908,0.001085,-0.006745,-0.006745,0.001085,0.126908,-0.000125
0.936280,1.172634,0.936280,0.106305,0.001296,-0.003031,-0.003031,0.001296,0.106305,-0.000125
0.976030,1.085867,0.976030,0.079488,0.000615,-0.000926,-0.000926,0.000615,0.079488,-0.000125
0.975673,1.096588,0.970814,0.129608,-0.000323,-0.004383,-0.001636,-0.000932,0.182445,-0.000125
0.934293,1.191392,0.924178,0.139633,-0.000919,-0.015460,-0.006648,-0.002048,0.173826,-0.000125
0.910278,1.242700,0.902396,0.140711,-0.000399,-0.025778,-0.012310,-0.001597,0.153218,-0.000125
0.902828,1.251572,0.900015,0.139961,0.000525,-0.026349,-0.014421,0.000128,0.139697,-0.000125
0.905682,1.242962,0.903780,0.136247,0.001064,-0.017763,-0.012091,0.002396,0.132659,-0.000125
0.917062,1.220492,0.911854,0.125965,0.002137,-0.008214,-0.007399,0.004317,0.113056,-0.000125
0.940390,1.169760,0.932149,0.106540,0.002635,-0.002506,-0.003460,0.004676,0.076489,-0.000125
0.977841,1.084535,0.973092,0.081336,0.001233,-0.000406,-0.001030,0.002148,0.028611,-0.000125
0.976310,1.110297,0.957424,0.131070,-0.001138,-0.009326,-0.001702,-0.001855,0.254207,-0.000125
0.935868,1.215136,0.900656,0.138073,-0.000445,-0.035702,-0.006885,-0.003423,0.205467,-0.000125
0.912115,1.246055,0.892911,0.140309,0.000997,-0.052483,-0.012472,-0.002079,0.151105,-0.000125
0.905109,1.243785,0.900337,0.140013,0.000423,-0.047481,-0.014431,0.000660,0.136765,-0.000125
0.909206,1.229295,0.907041,0.135916,0.000162,-0.034614,-0.012406,0.004248,0.125121,-0.000125
0.921901,1.206288,0.913922,0.125085,0.000300,-0.016293,-0.008151,0.007639,0.105639,-0.000125
0.945128,1.166931,0.926206,0.105827,0.001395,-0.004969,-0.004006,0.008351,0.051327,-0.000125
